date,headline,abstract,snippet,lead_paragraph,web_url,section,subsection,byline,document_type,news_desk,type_of_material,word_count,source,keywords
2020-07-02T21:22:22Z,Issue Archive,Past issues of The New York Times Magazine.,Past issues of The New York Times Magazine.,,https://www.nytimes.com/interactive/2020/07/02/magazine/past-issues-sunday-magazine.html,Magazine,,,interactive,,Interactive Feature,0,The New York Times,
2020-09-04T22:45:47Z,The 30 Best TV Shows on Netflix Right Now,"Some of the best shows on the streaming giant right now include “Adolescence,” “Stranger Things” and “The Beast in Me.” Here are our favorites.","Some of the best shows on the streaming giant right now include “Adolescence,” “Stranger Things” and “The Beast in Me.” Here are our favorites.",,https://www.nytimes.com/article/best-tv-shows-netflix.html,Arts,Television,By Noel Murray,article,Culture,News,3945,The New York Times,"Television, Netflix Inc"
2020-09-11T19:36:24Z,The Best Movies and Shows on Hulu Right Now,We’ve handpicked the finest movies and television shows currently streaming on Hulu in the United States. Take a look.,We’ve handpicked the finest movies and television shows currently streaming on Hulu in the United States. Take a look.,,https://www.nytimes.com/article/best-movies-shows-hulu.html,Movies,,By Jason Bailey,article,Culture,News,6569,The New York Times,"Television, Movies, Hulu.com"
2021-04-21T17:00:00Z,Biden’s Plan to End Afghanistan War Gives Some Detainees Hope for Release,The legal basis for indefinite detention at Guantánamo is to prevent combatants from returning to the battlefield. But what if their old battlefield is no more?,The legal basis for indefinite detention at Guantánamo is to prevent combatants from returning to the battlefield. But what if their old battlefield is no more?,,https://www.nytimes.com/2021/04/21/us/politics/afghanistan-war-guantanamo-prison.html,U.S.,Politics,By Charlie Savage and Carol Rosenberg,article,Washington,News,1373,The New York Times,"Guantanamo Bay Naval Base (Cuba), Terrorism, Detainees, Afghanistan War (2001- ), United States Politics and Government, United States Defense and Military Forces, Al Qaeda, Defense Department, Taliban, Biden, Joseph R Jr, Haroon Gul, Asadullah, Rahim, Muhammad (1965- )"
2021-05-18T15:38:01Z,The Guantánamo Docket,"Since 2002, roughly 780 detainees have been held at the American military prison at Guantánamo Bay, Cuba. Fifteen remain.","Since 2002, roughly 780 detainees have been held at the American military prison at Guantánamo Bay, Cuba. Fifteen remain.",,https://www.nytimes.com/interactive/2021/us/guantanamo-bay-detainees.html,U.S.,,By The New York Times,interactive,,Interactive Feature,0,The New York Times,"Guantanamo Bay Naval Base (Cuba), Detainees"
2021-02-25T02:55:04Z,"As Black History Month Turns 100, a Look Back at How It Began",Black History Month has been celebrated in the United States for close to 100 years but what is it exactly and how did it begin?,Black History Month has been celebrated in the United States for close to 100 years but what is it exactly and how did it begin?,,https://www.nytimes.com/interactive/2025/us/history-of-black-history-month.html,U.S.,,By Veronica Chambers and Jamiel Law,interactive,,Interactive Feature,1543,The New York Times,"Black History Continued 2021, Black People, United States, Woodson, Carter G, Civil Rights Movement (1954-68), United States Politics and Government"
2021-06-16T16:30:04Z,‘The Ezra Klein Show’ Book Recommendations,Readings that the podcast’s guests say shaped their thinking.,Readings that the podcast’s guests say shaped their thinking.,,https://www.nytimes.com/article/ezra-klein-show-book-recs.html,Opinion,,,article,OpEd,Op-Ed,332,The New York Times,"Content Type: Service, Books and Literature"
2021-10-19T15:13:19Z,Why New York's Taxi Drivers Are Protesting,New York's taxi industry has been decimated by multiple economic crises. Drivers say the city's response is woefully inadequate.,New York's taxi industry has been decimated by multiple economic crises. Drivers say the city's response is woefully inadequate.,,https://www.nytimes.com/interactive/2021/10/19/nyregion/taxi-drivers.html,New York,,By Karen Zraick,interactive,,Interactive Feature,0,The New York Times,"Taxicabs and Taxicab Drivers, Economic Conditions and Trends, Hunger Strikes, New York City"
2021-11-04T19:46:03Z,Ask Wirecutter: Sharing a Bed,A reader asks how to share a bed with a partner who runs hot.,A reader asks how to share a bed with a partner who runs hot.,,https://www.nytimes.com/interactive/2021/11/04/smarter-living/wirecutter/sharing-bed.html,Smarter Living,Wirecutter,By Annemarie Conte,interactive,,Interactive Feature,0,The New York Times,"Sleep, Content Type: Service"
2021-07-15T19:23:26Z,Broadway Shows to See This Winter: ‘Ragtime’ and More,"A guide to every show on Broadway, including Tony-winning musicals, new dramas, quirky hits and veterans like “Hamilton.”","A guide to every show on Broadway, including Tony-winning musicals, new dramas, quirky hits and veterans like “Hamilton.”",,https://www.nytimes.com/article/broadway-shows-musicals.html,Theater,,By Laura Collins-Hughes,article,Weekend,News,2219,The New York Times,"Theater, Theater (Broadway), Music, New York City, Actors and Actresses, Pop and Rock Music"
